Wersja;Silnik:;Układ zasilania:;Średnica × skok tłoka:;St. sprężania:;Moc maksymalna:;Maks. moment obrotowy;0–100 km/h:;V-max: 220
Silniki benzynowe:;;;;;;;;
316[14];R4 1.8 l (1767 cm?). SOHC;gaźnik Pierburg 4/2 BE;89.00 × 71.00 mm;9.5:1;89 KM (66 kW) przy 5500 obr./min;140 N·m przy 4000 obr./min;b.d.;175 km/h
316i[15];R4 1.6 l (1596 cm?). SOHC;wtrysk Bo Mot;84.00 × 72.00 mm;9.0:1;104 KM (77 kW) przy 5500 obr./min;145 Nm przy 4250 obr./min;10.1 s;180 km/h
318i[16];R4 1.8 l (1767 cm?). SOHC;wtrysk Bo L-Jet;89.00 × 71.00 mm;10.0:1;104 KM (77 kW) przy 5800 obr./min;145 Nm przy 4500 obr./min;10.9 s;183 km/h
318i[17];R4 1.8 l (1796 cm?). SOHC;wtrysk Bo Mot;84.00 × 81.00 mm;8.8:1;113 KM (83 kW) przy 5500 obr./min;162 Nm przy 4250 obr./min;10.8 s;191 km/h
318iS[18];R4 1.8 l (1796 cm?). DOHC;wtrysk Bo Mot;84.00 × 81.00 mm;10.0:1;136 KM (100 kW) przy 6000 obr./min;172 Nm przy 4600 obr./min;9.4 s;207 km/h
320i[19];R6 2.0 l (1991 cm?). SOHC;wtrysk Bo L-Jet;80.00 × 66.00 mm;9.8:1;129 KM (92 kW) przy 5800 obr./min;164 Nm przy 4000 obr./min;9.8 s;200 km/h
320iS[20];R4 2.0 l (1991 cm?). DOHC;wtrysk Bo ML-Mot;93.40 × 72.65 mm;10.8:1;192 KM (141 kW) przy 6900 obr./min;210 Nm przy 4900 obr./min;7.5 s;231 km/h
323i[21];R6 2.3 l (2316 cm?). SOHC;wtrysk Bo L-Jet;80.00 × 76.80 mm;9.8:1;139 KM (102 kW) przy 5300 obr./min;205 Nm przy 4000 obr./min;8.8 s;202 km/h
325i[22];R6 2.5 l (2494 cm?). SOHC;wtrysk Bo ME-Mot;84.00 × 75.00 mm;9.7:1;170 KM (125 kW) przy 6250 obr./min;226 Nm przy 4250 obr./min;7.7 s;222 km/h
325iS[23];R6 2.7 l (2693 cm?). SOHC;wtrysk Bo ME-Mot;84.00 × 81.00 mm;9.8:1;198 KM (145 kW) przy 5800 obr./min;265 Nm przy 4000 obr./min;7.5 s;225 km/h
325e[24];R6 2.7 l (2693 cm?). SOHC;wtrysk Bo Mot;84.00 × 81.00 mm;9.0:1;122 KM (90 kW) przy 4250 obr./min;230 Nm przy 3250 obr./min;9.3 s;195 km/h
333i[25];R6 3.2 l (3210 cm?). SOHC;wtrysk Bo L-Jet;89.00 × 86.00 mm;10.0:1;197 KM (145 kW) przy 5500 obr./min;285 Nm przy 4300 obr./min;7.2 s;231 km/h
M3[26];R4 2.3 l (2302 cm?). DOHC;wtrysk Bo ML-Mot;93.40 × 84.00 mm;10.0:1;200 KM (147 kW) przy 6750 obr./min;240 Nm przy 4750 obr./min;6.7 s;235 km/h
M3 Evo II[27];R4 2.3 l (2302 cm?). DOHC;wtrysk;93.40 × 84.00 mm;11.0:1;220 KM (162 kW) przy 6750 obr./min;245 Nm przy 4750 obr./min;6.7 s;237 km/h
Silniki wysokoprężne:;;;;;;;;
324d[28];R6 2.4 l (2443 cm?). SOHC;pompa Bosch;80.00 × 81.00 mm;22.0:1;86 KM (63 kW) przy 4600 obr./min;152 Nm przy 2500 obr./min;15.5 s;161 km/h
324td[29];R6 2.4 l (2443 cm?). SOHC. turbo;pompa Bosch;80.00 × 81.00 mm;22.0:1;115 KM (84 kW) przy 4800 obr./min;220 Nm przy 2400 obr./min;11.9 s;187 km/h
325td[30];R6 2.5 l (2498 cm?). SOHC. turbo;pompa Bosch;80.00 × 83.00 mm;22.0:1;118 KM (86 kW) przy 4800 obr./min;220 Nm przy 2400 obr./min;12.3 s;187 km/h
